Player,Team,Position,Type,Fantasy_Pts,VORP,Draft_Value,Risk_Adj_Value,Confidence,Proj_HR,Proj_SB,Proj_W,Proj_SV,Rank
Ian Happ,CHC,OF,Hitter,427,75,25,21,0.85,20.0,7.0,,,33
Mookie Betts,LAD,OF,Hitter,424,72,24,21,0.85,18.0,10.0,,,34
Ozzie Albies,ATL,2B,Hitter,367,68,23,20,0.85,14.0,11.0,,,35
Brandon Nimmo,NYM,OF,Hitter,417,65,22,19,0.85,20.0,11.0,,,36
Jesus Luzardo,PHI,SP,Pitcher,267,65,22,18,0.8,,,13.0,0.0,37
Zac Gallen,ARI,SP,Pitcher,266,64,22,17,0.8,,,14.0,0.0,38
Max Muncy,LAD,3B,Hitter,285,60,20,17,0.85,16.0,3.0,,,39
Yoshinobu Yamamoto,LAD,SP,Pitcher,262,60,20,16,0.8,,,12.0,0.0,40
Alec Bohm,PHI,3B,Hitter,284,59,20,17,0.85,10.0,3.0,,,41
Lake Bachar,MIA,SP/RP,Pitcher,150,54,18,13,0.7,,,7.0,2.0,42
Brandon Pfaadt,ARI,SP,Pitcher,252,50,17,13,0.75,,,13.0,0.0,43
Bryson Stott,PHI,2B,Hitter,347,48,16,14,0.85,11.0,21.0,,,44
Hunter Goodman,COL,OF,Hitter,399,47,16,14,0.85,26.0,2.0,,,45
Jackson Chourio,MIL,OF,Hitter,398,46,16,14,0.85,18.0,17.0,,,46
Austin Riley,ATL,3B,Hitter,268,43,15,13,0.85,14.0,2.0,,,47
Freddie Freeman,LAD,1B,Hitter,441,42,14,12,0.85,19.0,6.0,,,48
